dist_name,state_name,ST_CEN_CD,DT_CEN_CD,censuscode,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,state_name_full
anantnag,JK,1,14,14,19.7235294117647,20.52745098039216,24.611764705882344,27.47843137254902,28.15686274509803,24.315686274509794,25.01960784313726,21.88627450980392,23.39607843137255,28.178431372549028,24.949019607843134,22.568627450980387,25.880392156862744,26.641176470588228,24.280392156862753,23.903921568627446,26.50980392156863,24.086274509803914,33.4156862745098,26.284313725490197,27.3843137254902,23.48823529411764,23.53529411764706,Jammu and Kashmir
badgam,JK,1,2,2,30.225000000000005,30.004166666666663,34.35,38.55,38.09166666666667,34.00833333333333,34.25833333333333,30.829166666666666,34.4375,38.0875,34.3625,30.6875,35.9625,37.37916666666666,33.86666666666666,34.05833333333333,36.72083333333333,34.84166666666667,50.058333333333316,37.483333333333334,37.158333333333324,35.270833333333336,34.412499999999994,Jammu and Kashmir
bandipore,JK,1,9,9,19.348837209302324,19.006976744186044,21.974418604651166,25.411627906976744,25.346511627906985,23.072093023255814,22.655813953488373,20.66046511627907,22.402325581395342,25.590697674418596,23.402325581395342,21.830232558139535,25.05348837209302,24.183720930232553,22.397674418604648,23.209302325581394,24.64883720930233,21.713953488372102,32.004651162790694,24.644186046511624,25.293023255813953,22.90232558139535,22.051162790697678,Jammu and Kashmir
baramula,JK,1,8,8,30.236363636363635,28.969696969696965,32.918181818181814,37.74545454545455,36.32121212121212,33.06969696969696,33.22121212121212,30.109090909090906,33.724242424242426,36.06666666666668,33.11212121212122,29.61515151515151,34.372727272727275,35.04242424242425,32.06969696969696,33.16969696969696,34.60000000000001,32.91818181818183,47.672727272727265,36.44242424242423,35.763636363636365,34.38787878787879,33.69696969696969,Jammu and Kashmir
doda,JK,1,16,16,23.56388888888889,24.444444444444446,28.419444444444444,30.80833333333333,31.9611111111111,27.824999999999996,27.433333333333326,24.73888888888889,24.88611111111111,28.59722222222222,26.79999999999999,24.29166666666667,27.663888888888888,27.44166666666666,28.138888888888886,27.466666666666665,29.39166666666667,26.711111111111112,34.82222222222223,31.09444444444445,32.31666666666668,26.011111111111113,26.750000000000004,Jammu and Kashmir
ganderbal,JK,1,11,11,17.425,17.57916666666667,20.979166666666668,23.783333333333335,24.404166666666672,21.724999999999998,21.729166666666668,19.3875,20.224999999999998,24.2625,21.416666666666668,19.991666666666664,23.304166666666664,23.10833333333333,21.158333333333335,21.783333333333335,23.454166666666666,20.874999999999996,30.50833333333333,22.841666666666665,23.766666666666666,20.916666666666664,20.725,Jammu and Kashmir
jammu,JK,1,21,21,32.67142857142858,32.682857142857145,36.251428571428576,39.48857142857144,38.64857142857142,37.46857142857142,37.22285714285713,36.665714285714294,36.44857142857143,41.197142857142865,43.85142857142858,39.41428571428571,42.69714285714285,42.24857142857143,44.771428571428565,41.56285714285715,46.14857142857143,45.96857142857143,52.08285714285715,45.25142857142858,45.59714285714286,40.068571428571445,41.70571428571427,Jammu and Kashmir
kargil,JK,1,4,4,11.319371727748685,12.625130890052356,14.569109947643968,15.810471204188481,16.443979057591623,14.95759162303665,15.609424083769651,13.951832460732993,12.949214659685866,14.282722513089002,13.3151832460733,13.843455497382193,14.497382198952884,14.64973821989528,15.249214659685858,14.775916230366498,15.147120418848177,13.761256544502606,19.239267015706808,14.770157068062831,15.895287958115185,13.16073298429319,13.764397905759157,Jammu and Kashmir
kathua,JK,1,7,7,24.025641025641033,23.656410256410258,28.47692307692308,30.923076923076923,30.812820512820515,29.03333333333333,28.846153846153847,27.892307692307696,27.5025641025641,30.407692307692304,31.815384615384612,29.14615384615384,30.89487179487179,31.67692307692306,32.412820512820495,31.246153846153845,33.52564102564103,33.217948717948715,39.12820512820512,33.87179487179487,34.90512820512821,29.50256410256409,31.233333333333338,Jammu and Kashmir
kishtwar,JK,1,18,18,17.304424778761057,18.456637168141597,22.306194690265475,24.137168141592923,24.370796460177008,21.95575221238938,22.672566371681413,20.386725663716813,20.03716814159292,22.648672566371687,20.388495575221242,20.18495575221238,22.210619469026554,22.169026548672562,22.08230088495575,21.870796460176997,22.65398230088495,20.900000000000002,28.346902654867236,22.569911504424766,24.66283185840708,20.01415929203541,21.36548672566372,Jammu and Kashmir
